cve_id,year,cwe,cvss_v3,cvss_v3_severity,cvss_v2,cvss_source,threat_ids,overlap_flag
CVE-2024-45806,2024,CWE-639,6.5,MEDIUM,,v3.1,P-15|P-20|P-22,true
CVE-2024-44765,2024,CWE-863,6.5,MEDIUM,,v3.1,P-15,false
CVE-2024-12263,2024,CWE-862,4.3,MEDIUM,,v3.1,P-15|P-20,true
CVE-2024-12365,2025,CWE-862,8.5,HIGH,,v3.1,P-15,false
CVE-2024-22341,2025,CWE-73,5.3,MEDIUM,,v3.1,P-15,false
CVE-2025-4683,2025,CWE-862,4.3,MEDIUM,,v3.1,P-15,false
CVE-2025-30675,2025,CWE-200,4.7,MEDIUM,,v3.1,P-15,false
CVE-2025-26198,2025,CWE-89,9.8,CRITICAL,,v3.1,P-15|P-17|P-20,true
CVE-2025-55306,2025,CWE-522,9.8,CRITICAL,,v3.1,P-15,false
CVE-2025-57601,2025,CWE-798,9.8,CRITICAL,,v3.1,P-15|P-22,true
CVE-2025-41252,2025,CWE-203,7.5,HIGH,,v3.1,P-15,false
CVE-2025-11380,2025,CWE-862,5.9,MEDIUM,,v3.1,P-15,false
CVE-2025-36093,2025,CWE-602,4.8,MEDIUM,,v3.1,P-15|P-22,true
CVE-2025-45378,2025,CWE-78,9.1,CRITICAL,,v3.1,P-15,false
CVE-2025-64180,2025,CWE-367,10.0,CRITICAL,,v3.1,P-15|P-22,true
CVE-2025-10304,2025,CWE-862,5.3,MEDIUM,,v3.1,P-15,false
CVE-2025-65841,2025,CWE-284,6.2,MEDIUM,,v3.1,P-15|P-18,true
CVE-2025-46603,2025,CWE-307,7.0,HIGH,,v3.1,P-15,false
CVE-2025-65831,2025,CWE-327,7.5,HIGH,,v3.1,P-15,false
CVE-2025-68644,2025,CWE-290,7.4,HIGH,,v3.1,P-15,false
CVE-2022-26668,2022,CWE-269,7.3,HIGH,6.4,v3.1,P-16,false
CVE-2022-30290,2022,NVD-CWE-Other,7.5,HIGH,5.0,v3.1,P-16,false
CVE-2022-45180,2023,NVD-CWE-noinfo,6.5,MEDIUM,,v3.1,P-16,false
CVE-2023-42442,2023,CWE-287,8.2,HIGH,,v3.1,P-16|P-23,true
CVE-2024-39701,2024,CWE-284,6.3,MEDIUM,,v3.1,P-16,false
CVE-2025-40773,2025,CWE-639,3.5,LOW,,v3.1,P-16,false
CVE-2025-60427,2025,CWE-284,6.5,MEDIUM,,v3.1,P-16,false
CVE-2025-64065,2025,CWE-285,8.8,HIGH,,v3.1,P-16,false
CVE-2021-45224,2022,CWE-79,6.1,MEDIUM,4.3,v3.1,P-16,false
CVE-2021-45228,2022,CWE-79,5.4,MEDIUM,3.5,v3.1,P-16,false
CVE-2022-29444,2022,CWE-79,6.5,MEDIUM,3.5,v3.1,P-16,false
CVE-2022-27183,2022,CWE-79,8.8,HIGH,4.3,v3.1,P-16,false
CVE-2020-15339,2022,CWE-79,6.1,MEDIUM,,v3.1,P-16,false
CVE-2023-23917,2023,CWE-77,8.8,HIGH,,v3.1,P-16,false
CVE-2023-26290,2023,CWE-79,6.1,MEDIUM,,v3.1,P-16,false
CVE-2023-26291,2023,CWE-79,6.1,MEDIUM,,v3.1,P-16,false
CVE-2023-26292,2023,CWE-79,6.1,MEDIUM,,v3.1,P-16,false
CVE-2023-0421,2023,N/A,6.1,MEDIUM,,v3.1,P-16|P-22,true
CVE-2023-26316,2023,CWE-79,6.1,MEDIUM,,v3.1,P-16,false
CVE-2023-3526,2023,CWE-79,9.6,CRITICAL,,v3.1,P-16,false
CVE-2023-41248,2023,CWE-79,4.6,MEDIUM,,v3.1,P-16,false
CVE-2023-45992,2023,CWE-79,9.6,CRITICAL,,v3.1,P-16|P-22,true
CVE-2023-6148,2024,CWE-79,5.7,MEDIUM,,v3.1,P-16,false
CVE-2022-41990,2024,CWE-352,7.1,HIGH,,v3.1,P-16,false
CVE-2024-27968,2024,CWE-352,7.1,HIGH,,v3.1,P-16,false
CVE-2024-27188,2024,CWE-79,5.9,MEDIUM,,v3.1,P-16,false
CVE-2024-29922,2024,CWE-79,5.9,MEDIUM,,v3.1,P-16,false
CVE-2024-29795,2024,CWE-79,6.5,MEDIUM,,v3.1,P-16,false
CVE-2024-43807,2024,CWE-79,4.6,MEDIUM,,v3.1,P-16,false
CVE-2024-50431,2024,CWE-79,5.9,MEDIUM,,v3.1,P-16,false
CVE-2024-54324,2024,CWE-79,7.1,HIGH,,v3.1,P-16,false
CVE-2025-22735,2025,CWE-79,7.1,HIGH,,v3.1,P-16,false
CVE-2025-22332,2025,CWE-79,7.1,HIGH,,v3.1,P-16,false
CVE-2025-26878,2025,CWE-79,6.5,MEDIUM,,v3.1,P-16,false
CVE-2025-28865,2025,CWE-79,7.1,HIGH,,v3.1,P-16,false
CVE-2025-31140,2025,CWE-79,4.6,MEDIUM,,v3.1,P-16,false
CVE-2025-32653,2025,CWE-79,7.1,HIGH,,v3.1,P-16,false
CVE-2025-53486,2025,CWE-79,5.4,MEDIUM,,v3.1,P-16,false
CVE-2025-32019,2025,CWE-79,4.1,MEDIUM,,v3.1,P-16,false
CVE-2025-58883,2025,CWE-79,5.9,MEDIUM,,v3.1,P-16,false
CVE-2025-60169,2025,CWE-352,7.1,HIGH,,v3.1,P-16,false
CVE-2025-62962,2025,CWE-352,8.8,HIGH,,v3.1,P-16,false
CVE-2025-62032,2025,CWE-79,6.5,MEDIUM,,v3.1,P-16,false
CVE-2025-66481,2025,CWE-79,9.6,CRITICAL,,v3.1,P-16,false
CVE-2024-23825,2024,CWE-918,3.0,LOW,,v3.1,P-17|P-20|P-23,true
CVE-2023-50298,2024,CWE-200,7.5,HIGH,,v3.1,P-17|P-20,true
CVE-2024-45693,2024,CWE-352,8.0,HIGH,,v3.1,P-17|P-22,true
CVE-2024-12099,2024,CWE-639,4.3,MEDIUM,,v3.1,P-17,false
CVE-2025-24849,2025,CWE-319,7.1,HIGH,,v3.1,P-17,false
CVE-2025-59434,2025,CWE-200,9.6,CRITICAL,,v3.1,P-17|P-20,true
CVE-2025-14437,2025,CWE-532,7.5,HIGH,,v3.1,P-17,false
CVE-2023-35785,2023,CWE-287,8.1,HIGH,,v3.1,P-18|P-20,true
CVE-2022-23651,2022,CWE-367,4.7,MEDIUM,1.9,v3.1,P-20,false
CVE-2022-23653,2022,CWE-367,4.7,MEDIUM,1.9,v3.1,P-20,false
CVE-2022-29170,2022,CWE-601,6.6,MEDIUM,4.9,v3.1,P-20,false
CVE-2022-20860,2022,CWE-295,7.4,HIGH,,v3.1,P-20|P-22,true
CVE-2022-22999,2022,CWE-79,8.2,HIGH,,v3.1,P-20,false
CVE-2022-29550,2022,CWE-532,5.5,MEDIUM,,v3.1,P-20,false
CVE-2022-2830,2022,CWE-502,8.8,HIGH,,v3.1,P-20,false
CVE-2022-34434,2022,CWE-285,6.7,MEDIUM,,v3.1,P-20|P-22,true
CVE-2022-29839,2022,CWE-522,4.1,MEDIUM,,v3.1,P-20,false
CVE-2022-3186,2022,CWE-284,8.6,HIGH,,v3.1,P-20|P-22,true
CVE-2023-25149,2023,CWE-284,8.8,HIGH,,v3.1,P-20|P-22,true
CVE-2023-28834,2023,CWE-212,3.5,LOW,,v3.1,P-20,false
